Date,Ticker,% Return,High,Low,Open,Close,Low %,High %
17/04/2014,ATHM,-0.017158932,35.77,34.009998,35.549999,34.939999,-0.043319298,0.006188495
17/04/2014,BITA,-0.008078448,34.98,33.09,34.66,34.380001,-0.045297173,0.009232545
17/04/2014,MANU,0.001679619,18,17.25,17.860001,17.889999,-0.034154589,0.007838689
21/04/2014,POWR,-0.027362079,23.74,22.66,23.389999,22.75,-0.031209877,0.014963703
21/04/2014,LEJU,-0.0175,12.37,10.78,12,11.79,-0.101666667,0.030833333
21/04/2014,NNI,-0.016681879,44.200001,42.889999,43.759998,43.029999,-0.019881148,0.010054914
21/04/2014,MBT,0.020920502,17.129999,16.709999,16.73,17.08,-0.001195517,0.023909085
21/04/2014,KNL,0.029189243,20.1,18.450001,18.5,19.040001,-0.002702649,0.086486486
22/04/2014,AZN,-0.013864336,68.330002,66.550003,67.800003,66.860001,-0.018436577,0.007817094
22/04/2014,JCP,-0.008578431,8.27,7.96,8.16,8.09,-0.024509804,0.013480392
22/04/2014,CRDB,0,311.111,301.389,301.389,301.389,0,0.032257315
23/04/2014,OPWR,-0.085612366,25.23,23,25.23,23.07,-0.088386841,0
23/04/2014,RUBI,-0.012433393,23.200001,21.23,22.52,22.24,-0.057282416,0.030195426
